District_name_EN,District_name_AR,latitude,longitude,Population,Males_(%),Females_(%),Saudis_(%),Non_Saudis_(%),Males,Females,Saudis,Non_Saudis,Average_Income
Ad Dar Al Baida,دار البيضاء,24.566842,46.790295,168900,0.56,0.44,0.84,0.16,93908,74992,142214,26686,6900
Ad Dhubbat,الضباط,24.679383,46.721847,20400,0.58,0.42,0.15,0.86,11812,8588,2958,17442,8200
Ad Dirah,الديرة,24.573161,46.847922,13100,0.81,0.19,0.16,0.84,10637,2463,2070,11030,2900
Ad Diriyah,الدرعية,24.74862,46.53538,11300,0.53,0.47,0.82,0.18,5955,5345,9255,2045,6900
Ad Duraihimiyah,الدريهمية,24.590332,46.695121,13700,0.56,0.45,0.59,0.41,7604,6097,8056,5644,10000
Al Aarid,العارض ,24.898154,46.600623,34300,0.59,0.41,0.87,0.13,20100,14200,29910,4390,10200
Al Amal,العمل,24.647275,46.721814,20900,0.68,0.32,0.05,0.95,14233,6667,1024,19876,3800
Al Andalus,الأندلس,24.745224,46.788379,33700,0.51,0.49,0.8,0.2,17254,16446,26825,6875,9600
Al Aqiq,العقيق,24.775692,46.629516,55500,0.52,0.48,0.75,0.25,28916,26585,41847,13653,8600
Al Awali,العوالي,24.55957994,46.609661,43000,0.5,0.5,0.93,0.07,21586,21414,39904,3096,8300
Al Badi'ah,البديعة,24.634622,46.685165,42200,0.59,0.41,0.41,0.59,25025,17175,17133,25067,4600
Al Bateiha,البطيحا,24.623417,46.719613,1752,0.72,0.28,0,1,1256,496,0,1752,5500
Al Dobah,الدوبية,24.621563,46.711001,2972,0.73,0.27,0.2,0.8,2176,796,600,2372,2000
Al Faisaliyah - Ad Diriyah,الفيصلية - الدرعية,24.7508334,46.57687369,7076,0.59,0.42,0.38,0.62,4139,2937,2710,4366,0
Al Faisaliyyah,الفيصلية,24.638318,46.779262,8700,0.61,0.39,0.68,0.32,5333,3367,5933,2767,4300
Al Fakhiriyyah,الفاخرية,24.643702,46.682296,7016,0.48,0.53,0.34,0.66,3333,3683,2399,4617,8000
Al Falah,الفلاح,24.79805,46.708355,38700,0.5,0.5,0.72,0.28,19389,19311,27748,10952,9900
Al Faruq,الفاروق,24.658135,46.77268,12400,0.58,0.42,0.45,0.55,7142,5258,5543,6857,6900
Al Fayha,الفيحاء,24.684169,46.811291,68200,0.51,0.49,0.75,0.25,34577,33623,51286,16914,9200
Al Futah,الفوطة,24.643228,46.710529,12500,0.54,0.46,0.01,0.99,6738,5763,100,12400,6800
Al Ghadir,الغدير,24.772627,46.652865,27200,0.49,0.51,0.71,0.29,13274,13926,19394,7806,11700
Al Hada,الهدا ,24.66127494,46.64148067,3628,0.56,0.45,0.81,0.19,2014,1614,2935,693,8000
Al Haeer,الحائر,24.438205,46.841267,18200,0.51,0.49,0.83,0.17,9264,8936,15124,3076,5900
Al Hamra,الحمراء,24.776654,46.751945,45900,0.52,0.48,0.78,0.22,23914,21986,35940,9960,11700
Al Hazm,الحزم,24.53961,46.645542,55500,0.52,0.48,0.89,0.12,29027,26474,49118,6383,8200
